# id	file_path	transparent_color_r	g	b
[TEXTURES]
0	resources/simon.png	0	128	0
1	resources/items.png	0	128	0
# id	left	top	right	bottom	texture_id	dx	dy

[SPRITES]

# ==== SIMON ========= 1xxxx
# idle right
10001	1581	22	1597	52	0	0	0
# walk right
10002	1553	22	1569	52	0	0	0	
10003	1540	21	1552	52	0	0	1
10004	1520	22	1535	52	0	0	0
# jump right
10005	1498	22	1514	45	0	0	0
# idle left
10011	1	22	17	52	0	0	0
#walk left
10012	29	22	45	52	0	0	0
10013	46	21	58	52	0	0	1
10014	63	22	78	52	0	0	0
# jump left
10015	84	22	100	45	0	0	0
# hitting standing left
10016	1	79	25	109	0	0	0
10017	26	79	42	109	0	0	0
10018	45	80	67	109	0	6	-1
# hitting standing right
10019	1573	79	1597	109	0	8	0
10020	1556	79	1572	109	0	0	0
10021	1531	79	1555	109	0	0	0
#10022	1506	79	1530	109	0	0	0
#10023	1481	79	1505	109	0	0	0
#10024	1456	79	1480	109	0	0	0
# color left
10025	406	22	422	52	0	0	0
10026	423	22	439	52	0	0	0
10027	440	22	456	52	0	0	0
10028	457	22	473	52	0	0	0
10029	474	22	490	52	0	0	0
#color right
10030	1176	22	1192	52	0	0	0
10031	1159	22	1175	52	0	0	0
10032	1142	22	1158	52	0	0	0
10033	1125	22	1141	52	0	0	0
10034	1108	22	1124	52	0	0	0
#Climbing up left
10035	154	22	169	53	0	0	0
10036	171	21	183	52	0	0	0
#Climbing up right
10037	1429	22	1444	53	0	0	0
10038	1415	21	1427	52	0	0	0
#Climbing down left
10039	211	22	227	53	0	0	0
10040	228	21	240	52	0	0	0
#Climbing down right
10041	1371	22	1387	53	0	0	0
10042	1358	21	1370	52	0	0	0
#idle on stair up left
10043	154	22	169	53	0	0	0
#idle on stair up right
10044	1429	22	1444	53	0	0	0
#idle on stair down left
10045	211	22	227	53	0	0	0
#idle on stair down right
10046	1371	22	1387	53	0	0	0
#Ducking right
10047	1498	22	1514	45	0	0	-8
#Ducking left
10048	84	22	100	45	0	0	-8
#Ascending stair left and hitting
10049	293	79	317	110	0	0	0
10050	318	79	334	110	0	0	0
10051	337	80	359	110	0	0	0
#Descending stair left and hitting
10052	439	79	463	110	0	0	0
10053	464	79	480	110	0	0	0
10054	483	80	505	110	0	6	-1
#Ascending stair right and hitting
10055	1281	79	1305	110	0	9	0
10056	1264	79	1280	110	0	1	0
10057	1239	80	1261	110	0	1	-1
#Descending stair right and hitting
10058	1135	79	1159	110	0	0	0
10059	1118	79	1134	110	0	0	0
10060	1093	80	1115	110	0	0	0
#Sitting and hitting left
10061	147	80	171	103	0	0	-9
10062	172	79	188	103	0	0	-8
10063	191	79	213	102	0	6	-8
#Sitting and hitting right
10064	1427	80	1451	103	0	8	-9
10065	1410	79	1426	103	0	0	-8
10066	1385	79	1407	102	0	0	-8
# ===== WHIP ======= 2xxxx

#------whip lv1----------
#setup1 left
20001	1	485	9	508	0	-7	1
#setup1 right
20002	1589	485	1597	508	0	7	1
#setup2 left	
20003	10	482	26	501	0	1	4
#setup2 right
20004	1572	482	1588	501	0	-1	4
#crack left
20005	27	485	51	493	0	0	0
#crak right	
20006	1547	485	1571	493	0	0	0

#------whip lv2----------
#setup1 left
20007	61	485	69	509	0	-7	1
#setup1 right
20008	1529	485	1537	509	0	7	1
#setup2 left	
20009	105	482	121	501	0	1	4
#setup2 right
20010	1477	482	1493	501	0	-1	4
#crack left
20011	156	487	180	493	0	1	-2
#crak right	
20012	1418	487	1442	493	0	-1	-2

#------whip lv3----------
#setup1 left
20013	79	485	87	509	0	-7	1
#setup1 right
20014	1511	485	1519	509	0	7	1
#setup2 left	
20015	139	482	155	501	0	1	4
#setup2 right
20016	1443	482	1459	501	0	-1	4
#crack left
20017	304	487	344	493	0	1	-2
#crak right	
20018	1254	487	1294	493	0	-1	-2

#=====EFFECT==== 3xxxx
# hitting
30001	727	477	735	487	0	0	0
#fire bomb
30002	599	480	602	485	0	0	0	
30003	606	480	612	492	0	0	0
30004	614	482	622	492	0	0	0
30005	623	479	639	493	0	0	0
30006	641	477	655	493	0	0	0


#====ITEMS==== 4xxxx
# small heart
40001	18	1	26	9	1	0	0
#wheapon collection
40002	1	1	17 	17 	1	0	0

[ANIMATIONS]
# ani_id	sprite1_id	time1	sprite2_id	time2	...
# ==== SIMON ========= 1xx
#idle right
100	10001	100
#idle left
101	10011	100
#jump right
102	10005	100
#jump left
103	10015	100
#walk right
104	10002	100	10003	100	10004	100
#walk left
105	10012	100	10013	100	10014	100
# hitting standing left
106	10016	100	10017	100	10018	100
# hitting standing right
107	10019	100	10020	100	10021	100
#color left
108	10025	100	10026	100	10027	100	10028	100	10029	100
#color right
109	10030	100	10031	100	10032	100	10033	100	10034	100
#climbing up left
110	10035	100	10036	100
#climbing up right
111	10037	100	10038	100
#climbing down left
112	10039	100	10040	100
#climbing down right
113	10041	100	10042	100
#idle on stair up left
114	10043	100
#idle on stair up right
115	10044	100
#idle on stair down left
116	10045	100
#idle on stair down right
117	10046	100
#Ducking right
118	10047	100
#Ducking left
119	10048	100
#Ascending stair left and hitting
120	10049	100	10050	100	10051	100
#Descending stair left and hitting
121	10052	100	10053	100	10054	100
#Ascending stair right and hitting
122	10055	100	10056	100	10057	100
#Descending stair right and hitting
123	10058	100	10059	100	10060	100
#Sitting and hitting left
124	10061	100	10062	100	10063	100
#Sitting and hitting right
125	10064	100	10065	100	10066	100
#==========WHIP========== 2xx
#lv1
201	20001	100
202	20002	100
203	20003	100
204	20004	100
205	20005	100
206	20006	100
#lv2
207	20007	100
208	20008	100
209	20009	100
210	20010	100
211	20011	100
212	20012	100
#lv3
213	20013	100
214	20014	100
215	20015	100
216	20016	100
217	20017	100
218	20018	100
#====HIT EFFECT===== 3xx
301	30001	100	30001	100
302	30002	100	30003	100	30004	100	30005	100
#303	30006	100
#304	30006	100

#=== ITEMS===== 4xx
401	40001	100
402	40002	100

[ANIMATION_SETS]
# id	ani1	ani2	ani3
#====SIMON===== 1x
1	100	101	102	103	104	105	106	107	108	109	110	111	112	113	114	115	116	117	118	119	120	121	122	123	124	125
#====WHIP==== 2x
21	201	202	203	204	205	206	207	208	209	210	211	212	213	214	215	216	217	218
#===HIT EFFECT 3x==== 3x
31	301	302
#===ITEMS==== 4x
41	401	402
